title,summary,href
兩百多艘中國漁船在帕戈斯群島附近海域徘徊,260艘的懸掛中國國旗的漁船在南美加拉帕戈斯群島附近海域捕魚。儘管捕魚活動在國際海域，並未違法，但引起了厄瓜多爾海軍的關注。,/zhongwen/trad/business-53735598
黎智英獲准保釋 壹傳媒股價歷險 香港市民搶購《蘋果日報》以示支持,香港傳媒大亨黎智英及壹傳媒高管相繼獲准保釋。此前，壹傳媒股價曾經「早市急跌，午市暴漲」，一些香港市民購買《蘋果日報》行動表達支持。,/zhongwen/trad/business-53734332
中國推進數字貨幣大規模測試，世界多國角逐激烈,中國四家大型國有銀行正同時在深圳等城市對央行數字貨幣進行大規模測試，這似乎意味著數字人民幣的落地已更加臨近。,/zhongwen/trad/business-53722841
「世界工廠」中國能否轉向「內循環」為主的經濟模式,中國經濟的「內循環」突然成為一個熱詞，外界有聲音認為這是中國應對外部壓力「閉關鎖國」之舉。,/zhongwen/trad/business-53690325
歷史上三次黃金大牛市：多事之秋的資本狂歡,新冠疫情、經濟衰弱和中美交惡背景下，黃金價格衝破2000美元/盎司，屢創新高，歷史重演？,/zhongwen/trad/business-53696713
TikTok：一段從「賣萌」到威脅美國安全的歷程,短短兩年內，這個平台是如何從一個數以百萬計用戶的應用程序，變成被看作是對美國國家安全的威脅？,/zhongwen/trad/business-53664695
「飛機墳場」客似雲來　新冠病毒疫情造就航空業奇景,航空公司一般會把短暫不使用的飛機停靠在機場，但如果一架飛機長期停靠，一些位於沙漠的停靠場可能更適合。,/zhongwen/trad/business-53635963
全民網購時代 電子商務的奇妙起源,網購現在成為我們日常生活中的常態，鼠標一按就能買的時代是從什麼時候開始的呢？你還記得自己第一次網上訂貨嗎？,/zhongwen/trad/business-53636374
特朗普為微軟收購TikTok開綠燈，稱美國應從交易抽成,美國總統特朗普稱，如果TikTok未能在9月15日前完成出售，將在美國遭封禁。他同時說，不反對微軟或其他美國公司收購TikTok。,/zhongwen/trad/business-53635327
亞馬遜、臉書和蘋果等科技巨頭在疫情封鎖中逆勢增長,有危便有機？新冠病毒疫情正在引發全球經濟動蕩，但多家國際科技巨頭卻在疫情中蓬勃發展。,/zhongwen/trad/business-53605721
科創版：「中國版納斯達克」是怎麼回事？,中國股市科創板創立一週年，這個「中國版納斯達克」是怎麼回事？,/zhongwen/trad/business-53571435
從加州嬉皮運動到全球年產四萬億美元的「自我照顧」工業,全球疫情促使更多人關注健康、養生。從奢華溫泉水療，世外桃源的度假酒店，到香氛蠟燭和號稱有益健康的超級食物等等，與養生沾邊的行業每年在全世界創造產值四萬億美元。,/zhongwen/trad/business-53481493
香港破產申請數上升 經濟面臨中美關係與疫情「夾擊」,對於香港經濟而言，目前正承受來自新冠疫情和地緣政治衝突的雙重打擊。,/zhongwen/trad/business-53443257
中國開啟復蘇二季度GDP增3.2%：「超預期」與結構不平衡隱憂,外界看好下半年中國經濟復蘇的動能，同時提醒中國面臨的政治和經濟外部環境迅速惡化，或將制約復蘇步伐。,/zhongwen/trad/business-53429013
中國和伊朗的25年「秘密協議」為何引發外界震動,中國和伊朗正在努力達成一份長達25年的全面合作協議，加強兩國在經貿、能源和安全領域的全方位合作，這可能意味著中美兩國的關係將繼續惡化。,/zhongwen/trad/business-53419354
香港《國安法》令外媒擔憂，美國紐約時報撤走三成員工,香港政府表示，只要不違反港區《國安法》，正當正常的採訪不會有很大問題。,/zhongwen/trad/business-53417064
危機中誕生的香港聯匯制度 如何渡過當下新危機,雖然香港有足夠的能力保持聯匯制度，但邏輯上美國有能力打擊該制度。,/zhongwen/trad/business-53402716
中美科技開啟戰略脫鉤 全球企業和國家開始選陣營,這是否是一場巨大的技術分裂的開端，是否公司和國家之間必須選邊站？決定自己是身處美國陣營還是中國陣營？,/zhongwen/trad/chinese-news-53372870
新冠肺炎重創經濟 歐美國家怎麼應對,英、美、德、法和歐盟用什麼來挽救經濟，為民眾紓困，為復蘇創造條件？,/zhongwen/trad/business-53348215
疫情陰霾持續 中港股市大漲從何而來,疫情帶來的衝擊此起彼伏，全球經濟大範圍停滯和萎縮，中國股市和香港股市卻在此刻卻氣勢如虹，衝向歷史高位。,/zhongwen/trad/business-53345100
